,TIME_PERIOD,Sector,OBS_VALUE
957,2007,Fishery development,0.022939
958,2007,Fishing,0.08746
959,2007,Fishing policy and administrative management,0.064521
960,2007,Food assistance,145.718354
961,2007,Food crop production,0.441869
962,2007,Forest industries,0.037983
963,2007,Forestry,3.874061
964,2007,Forestry development,1.291939
965,2007,Forestry policy and administrative management,2.413425
966,2007,Forestry research,0.168697
967,2007,Formal sector financial intermediaries,1.055698
968,2007,General budget support,0.005645
969,2007,General budget support-related aid,0.005645
970,2007,General environment protection,11.925854
971,2007,Government and civil society,216.327042
972,2007,"Government and civil society, general",196.227954
973,2007,Health,266.979604
974,2007,Health education,0.637509
975,2007,Health personnel development,0.556047
976,2007,Health policy and administrative management,8.352572
977,2007,"Health, general",13.850442
978,2007,Higher education,18.077971
979,2007,Housing policy and administrative management,0.312976
980,2007,Human rights,11.731888
981,2007,Humanitarian aid,355.283806
982,2007,Hydro-electric power plants,62.565079
983,2007,Immediate post-emergency reconstruction and rehabilitation,0.289604
984,2007,Industrial crops/export crops,0.479365
985,2007,Industrial development,17.474275
986,2007,Industrial policy and administrative management,0.433705
987,2007,Industry,20.540432
988,2007,"Industry, mining, construction",20.589476
989,2007,Infectious disease control,38.294695
990,2007,Informal/semi-formal financial intermediaries,15.238494
991,2007,Information and communication technology (ICT),1.148831
992,2007,Legal and judicial development,6.106144
993,2007,Livestock,2.605309
994,2007,Livestock/veterinary services,0.82006
995,2007,Low-cost housing,0.027368
996,2007,Malaria control,21.952728
997,2007,Material relief assistance and services,75.420813
998,2007,Media and free flow of information,2.707714
999,2007,Medical education/training,1.161687
1000,2007,Medical research,1.150867
1001,2007,Medical services,3.185316
1002,2007,Mineral resources and mining,0.049044
1003,2007,Mineral/mining policy and administrative management,0.049044
1004,2007,Multi-hazard response preparedness,0.006186
1005,2007,Multi-sector / Cross-cutting,122.473415
1006,2007,Multilateral trade negotiations,0.011112
1007,2007,Multisector aid,37.859706
1008,2007,Multisector aid for basic social services,129.457043
1009,2007,Multisector education/training,1.381349
1010,2007,Other multisector,110.547561
1011,2007,Other social infrastructure and services,283.22831
1012,2007,Participation in international peacekeeping operations,0.403139
1013,2007,Personnel development for population and reproductive health,0.009323
1014,2007,Population policies/Programmes & reproductive health,344.595167
1015,2007,Population policy and administrative management,2.919057
1016,2007,Post-secondary education,19.380228
1017,2007,Primary education,223.96072
1018,2007,Production sectors,114.674799
1019,2007,Promotion of development awareness (non-sector allocable),0.120979
1020,2007,Public finance management (PFM),11.849047
1021,2007,Public sector policy and administrative management,125.293444
1022,2007,Radio/television/print media,0.177238
1023,2007,Rail transport,12.003375
1024,2007,Reconstruction relief and rehabilitation,0.289604
1025,2007,Refugees in donor countries,0.28411
1026,2007,Refugees/asylum seekers  in donor countries (non-sector allocable),0.28411
1027,2007,Relief co-ordination and support services,2.021629
1028,2007,Removal of land mines and explosive remnants of war,8.370401
1029,2007,Reproductive health care,37.003704
1030,2007,Rescheduling and refinancing,0.030836
1031,2007,Research/scientific institutions,2.214317
1032,2007,River basins development,2.487591
1033,2007,Road transport,219.25302
1034,2007,Rural development,48.155099
1035,2007,STD control including HIV/AIDS,300.183404
1036,2007,Secondary education,9.571861
1037,2007,Sector allocable,2182.450575
1038,2007,Sectors not specified,49.438726
1039,2007,Security system management and reform,3.742353
1040,2007,Site preservation,0.035401
1041,2007,Small and medium-sized enterprises (SME) development,1.198979
1042,2007,Social infrastructure and services,1531.001701
1043,2007,Social mitigation of HIV/AIDS,1.544753
1044,2007,Social protection,126.442595
1045,2007,Statistical capacity building,11.807165
1046,2007,Teacher training,23.022509
1047,2007,Technological research and development,0.776435
1048,2007,Telecommunications,0.063104
1049,2007,Tourism,0.106289
1050,2007,Tourism policy and administrative management,0.106289
1051,2007,Trade education/training,0.015078
1052,2007,Trade policies and regulations,0.376834
1053,2007,Trade policy and administrative management,0.350644
1054,2007,Transport and storage,234.906972
1055,2007,Transport equipment industry,0.396627
1056,2007,Transport policy and administrative management,3.618831
1057,2007,Tuberculosis control,6.329232
1058,2007,Unallocated / unspecified,49.559705
1059,2007,Upper secondary education,1.571535
1060,2007,Urban development and management,20.238561
1061,2007,Vocational training,8.000326
1062,2007,Water resources conservation (including data collection),0.477481
1063,2007,Water sector policy and administrative management,2.419176
1064,2007,Water supply & sanitation,74.981432
1065,2007,Water supply and sanitation - large systems,41.573608
1066,2007,"Women's rights organisations and movements, and government institutions",11.192636
1067,2008,Action relating to debt,26.763246
1068,2008,Administrative costs (non-sector allocable),3.487921
1069,2008,Administrative costs of donors,3.487921
1070,2008,Advanced technical and managerial training,1.110985
1071,2008,Agrarian reform,0.140495
1072,2008,Agricultural co-operatives,0.42629
1073,2008,Agricultural development,15.366001
1074,2008,Agricultural education/training,0.279767
1075,2008,Agricultural extension,4.495334
1076,2008,Agricultural financial services,0.01205
1077,2008,Agricultural inputs,4.039994
1078,2008,Agricultural land resources,16.671188
1079,2008,Agricultural policy and administrative management,9.593178
1080,2008,Agricultural research,2.32953
1081,2008,Agricultural services,4.116215
1082,2008,Agricultural water resources,16.876248
1083,2008,Agriculture,78.512437
1084,2008,"Agriculture, forestry, fishing",80.196968
1085,2008,Agro-industries,0.21366
1086,2008,All sectors,3571.13621
1087,2008,Banking and financial services,11.395121
1088,2008,Basic drinking water supply and basic sanitation,42.843709
1089,2008,Basic education,44.828792
1090,2008,Basic health,152.2889
1091,2008,Basic health care,84.716536
1092,2008,Basic health infrastructure,0.528694
1093,2008,Basic life skills for adults,2.136613
1094,2008,Basic nutrition,18.492142
1095,2008,Biodiversity,4.433534
1096,2008,Biofuel-fired power plants,0.022266
1097,2008,Biosphere protection,1.761418
1098,2008,Business and other services,36.523975
1099,2008,Business policy and administration,36.368205
1100,2008,"Civilian peace-building, conflict prevention and resolution",3.609038
1101,2008,Commodity aid / General programme assistance,345.611473
1102,2008,Communications,7.655317
1103,2008,Communications policy and administrative management,6.042484
1104,2008,"Conflict, peace and security",12.413396
1105,2008,Culture and recreation,3.337303
1106,2008,Debt forgiveness,26.763246
1107,2008,Decentralisation and support to subnational government,7.657037
1108,2008,Democratic participation and civil society,14.303391
1109,2008,Development food assistance,345.572274
1110,2008,Disaster prevention and preparedness,7.191994
1111,2008,Disaster risk reduction,1.101718
1112,2008,Early childhood education,0.711809
1113,2008,Economic infrastructure and services,482.545669
1114,2008,Education,258.917
1115,2008,Education and training in water supply and sanitation,0.360353
1116,2008,Education facilities and training,12.875387
1117,2008,Education policy and administrative management,163.097811
1118,2008,"Education, level unspecified",177.771472
1119,2008,Educational research,1.518293
1120,2008,Elections,0.615978
1121,2008,Electric power transmission and distribution (centralised grids),20.076104
1122,2008,Emergency food assistance,864.762079
1123,2008,Emergency response,1005.028191
1124,2008,Employment creation,0.110053
1125,2008,Energy,107.922505
1126,2008,Energy distribution,20.076104
1127,2008,"Energy generation, non-renewable sources",7.002824
1128,2008,"Energy generation, non-renewable sources, unspecified",7.002824
1129,2008,"Energy generation, renewable sources",61.332514
1130,2008,"Energy generation, renewable sources - multiple technologies",13.07328
1131,2008,Energy policy,19.260995
1132,2008,Energy policy and administrative management,19.229912
1133,2008,Energy research,0.031083
1134,2008,Engineering,0.072408
1135,2008,Environmental education/training,0.144832
1136,2008,Environmental policy and administrative management,2.937849
1137,2008,Environmental research,0.155051
1138,2008,Family planning,17.06368
1139,2008,Financial policy and administrative management,0.710803
1140,2008,Fishing,0.015946
1141,2008,Fishing policy and administrative management,0.015946
1142,2008,Food assistance,345.572274
1143,2008,Food crop production,0.8234
1144,2008,Forest industries,0.002744
1145,2008,Forestry,1.668585
1146,2008,Forestry development,0.263547
1147,2008,Forestry policy and administrative management,1.221946
1148,2008,Forestry research,0.183092
1149,2008,Formal sector financial intermediaries,9.550204
1150,2008,General budget support,0.018336
1151,2008,General budget support-related aid,0.018336
1152,2008,General environment protection,17.568716
1153,2008,Government and civil society,211.314668
1154,2008,"Government and civil society, general",198.901272
1155,2008,Health,180.461925
1156,2008,Health education,0.876121
1157,2008,Health personnel development,0.833227
1158,2008,Health policy and administrative management,23.900908
1159,2008,"Health, general",28.173025
1160,2008,Higher education,24.927971
1161,2008,Housing policy and administrative management,0.405072
1162,2008,Human rights,10.111273
1163,2008,Humanitarian aid,1013.835062
1164,2008,Hydro-electric power plants,48.222503
1165,2008,Immediate post-emergency reconstruction and rehabilitation,1.614877
1166,2008,Import support (capital goods),0.020863
1167,2008,Industrial crops/export crops,2.356659
1168,2008,Industrial development,17.387524
1169,2008,Industrial policy and administrative management,0.185719
1170,2008,Industry,18.117806
1171,2008,"Industry, mining, construction",18.117806
1172,2008,Infectious disease control,28.191452
1173,2008,Informal/semi-formal financial intermediaries,1.134114
1174,2008,Information and communication technology (ICT),1.50872
1175,2008,Legal and judicial development,5.643275
1176,2008,Livestock,0.869522
1177,2008,Livestock/veterinary services,0.116566
1178,2008,Low-cost housing,0.006954
1179,2008,Malaria control,7.854618
1180,2008,Material relief assistance and services,134.186003
1181,2008,Media and free flow of information,2.063474
1182,2008,Medical education/training,0.617994
1183,2008,Medical research,0.3608
1184,2008,Medical services,3.293323
1185,2008,Multi-hazard response preparedness,7.191994
1186,2008,Multi-sector / Cross-cutting,175.858219
1187,2008,Multilateral trade negotiations,0.008577
1188,2008,Multisector aid,30.521023
1189,2008,Multisector aid for basic social services,116.745294
1190,2008,Multisector education/training,0.779937
1191,2008,Nuclear energy electric power plants and nuclear safety,0.250068
1192,2008,Nuclear energy plants,0.250068
1193,2008,Other commodity assistance,0.020863
1194,2008,Other multisector,158.289503
1195,2008,Other social infrastructure and services,264.759205
1196,2008,Participation in international peacekeeping operations,0.133253
1197,2008,Personnel development for population and reproductive health,0.157643
1198,2008,Population policies/Programmes & reproductive health,413.075447
1199,2008,Population policy and administrative management,3.607008
1200,2008,Post-secondary education,26.038956
1201,2008,Primary education,41.98037
1202,2008,Privatisation,0.15577
1203,2008,Production sectors,99.588059
1204,2008,Promotion of development awareness (non-sector allocable),0.128546
1205,2008,Public finance management (PFM),14.002652
1206,2008,Public sector policy and administrative management,138.960541
1207,2008,Radio/television/print media,0.104113
1208,2008,Rail transport,16.694696
1209,2008,Reconstruction relief and rehabilitation,1.614877
1210,2008,Refugees in donor countries,0.25214
1211,2008,Refugees/asylum seekers  in donor countries (non-sector allocable),0.25214
1212,2008,Relief co-ordination and support services,6.080109
1213,2008,Removal of land mines and explosive remnants of war,6.945806
1214,2008,Reproductive health care,28.946207
1215,2008,Research/scientific institutions,1.113411
1216,2008,River basins development,1.930711
1217,2008,Road transport,299.2416
1218,2008,Rural development,82.639273
1219,2008,STD control including HIV/AIDS,363.300909
1220,2008,Secondary education,10.27778
1221,2008,Sector allocable,2174.731365
1222,2008,Sectors not specified,6.326457
1223,2008,Security system management and reform,1.725299
1224,2008,Site preservation,8.136032
1225,2008,Small and medium-sized enterprises (SME) development,0.125347
1226,2008,Social infrastructure and services,1416.739418
1227,2008,Social mitigation of HIV/AIDS,2.042024
1228,2008,Social protection,137.286871
1229,2008,Statistical capacity building,4.825634
1230,2008,Teacher training,0.279981
1231,2008,Technological research and development,0.116147
1232,2008,"Textiles, leather and substitutes",0.014257
1233,2008,Tourism,0.141558
1234,2008,Tourism policy and administrative management,0.141558
1235,2008,Trade education/training,0.001822
1236,2008,Trade policies and regulations,1.131727
1237,2008,Trade policy and administrative management,1.121328
1238,2008,Transport and storage,319.048751
1239,2008,Transport policy and administrative management,3.112455
1240,2008,Tuberculosis control,10.79611
1241,2008,Unallocated / unspecified,6.455003
1242,2008,Upper secondary education,1.730206
1243,2008,Urban development and management,42.134141
1244,2008,Vocational training,8.547574
1245,2008,Water resources conservation (including data collection),0.420195
1246,2008,Water sector policy and administrative management,7.081403
1247,2008,Water supply & sanitation,88.211173
1248,2008,Water supply and sanitation - large systems,35.574802
1249,2008,Wind energy,0.014465
1250,2008,"Women's rights organisations and movements, and government institutions",5.543651
1251,2009,Action relating to debt,7.66661
1252,2009,Administrative costs (non-sector allocable),6.606566
1253,2009,Administrative costs of donors,6.606566
1254,2009,Advanced technical and managerial training,1.213998
1255,2009,Agrarian reform,1.920157
1256,2009,Agricultural alternative development,21.456483
1257,2009,Agricultural co-operatives,1.02459
1258,2009,Agricultural development,35.062249
1259,2009,Agricultural education/training,2.373936
1260,2009,Agricultural extension,8.664448
1261,2009,Agricultural financial services,0.325872
1262,2009,Agricultural inputs,286.674314
1263,2009,Agricultural land resources,26.761462
1264,2009,Agricultural policy and administrative management,7.084388
1265,2009,Agricultural research,9.716214
1266,2009,Agricultural services,5.593843
1267,2009,Agricultural water resources,14.940864
1268,2009,Agriculture,425.594887
1269,2009,"Agriculture, forestry, fishing",432.68783
1270,2009,Agro-industries,0.067237
1271,2009,Air transport,0.87181
1272,2009,All sectors,4296.47318
1273,2009,Anti-corruption organisations and institutions,-6.6e-05
1274,2009,Banking and financial services,144.109039
1275,2009,Basic drinking water supply and basic sanitation,70.025487
1276,2009,Basic education,52.987904
1277,2009,Basic health,285.74339
1278,2009,Basic health care,84.722943
1279,2009,Basic health infrastructure,2.109583
1280,2009,Basic life skills for adults,3.318268
1281,2009,Basic nutrition,29.687461
1282,2009,Biodiversity,4.341114
1283,2009,Biosphere protection,0.484732
1284,2009,Business and other services,26.979247
1285,2009,Business policy and administration,25.27857
1286,2009,"Civilian peace-building, conflict prevention and resolution",7.638917
1287,2009,Commodity aid / General programme assistance,425.894546
1288,2009,Communications,8.374375
1289,2009,Communications policy and administrative management,6.94415
1290,2009,"Conflict, peace and security",11.692221
1291,2009,Cottage industries and handicraft,0.157279
1292,2009,Culture and recreation,2.483769
1293,2009,Debt forgiveness,6.871175
1294,2009,Decentralisation and support to subnational government,30.398243
1295,2009,Democratic participation and civil society,13.440937
1296,2009,Development food assistance,231.976608
1297,2009,Disaster prevention and preparedness,9.053545
1298,2009,Disaster risk reduction,0.367257
1299,2009,Early childhood education,0.926208
1300,2009,Economic infrastructure and services,637.495547
1301,2009,Education,749.373892
1302,2009,Education and training in water supply and sanitation,0.04448
1303,2009,Education facilities and training,6.259657
1304,2009,Education policy and administrative management,642.000058
1305,2009,"Education, level unspecified",656.801516
1306,2009,Education/training in banking and financial services,0.014169
1307,2009,Educational research,3.296201
1308,2009,Elections,0.988943
1309,2009,Electric power transmission and distribution (centralised grids),117.746443
1310,2009,Emergency food assistance,660.597367
1311,2009,Emergency response,816.659636
1312,2009,Employment creation,1.929962
1313,2009,Energy,216.508797
1314,2009,Energy distribution,117.746443
1315,2009,Energy education/training,0.07133
1316,2009,"Energy generation, non-renewable sources",15.255384
1317,2009,"Energy generation, non-renewable sources, unspecified",15.255384
1318,2009,"Energy generation, renewable sources",69.909195
1319,2009,"Energy generation, renewable sources - multiple technologies",27.101207
1320,2009,Energy policy,13.500101
1321,2009,Energy policy and administrative management,13.402269
1322,2009,Energy research,0.026502
1323,2009,Engineering,0.096378
1324,2009,Environmental education/training,0.182742
1325,2009,Environmental policy and administrative management,8.865464
1326,2009,Environmental research,0.866761
1327,2009,Family planning,15.913157
1328,2009,Financial policy and administrative management,138.711652
1329,2009,Fishery development,1.541712
1330,2009,Fishing,1.568834
1331,2009,Fishing policy and administrative management,0.027122
1332,2009,Food assistance,231.976608
1333,2009,Food crop production,2.319276
1334,2009,Forestry,5.524109
1335,2009,Forestry development,3.315922
1336,2009,Forestry education/training,0.021909
1337,2009,Forestry policy and administrative management,1.947529
1338,2009,Forestry research,0.238749
1339,2009,Formal sector financial intermediaries,2.983737
1340,2009,General budget support,181.950008
1341,2009,General budget support-related aid,181.950008
1342,2009,General environment protection,14.812561
1343,2009,Geothermal energy,0.004142
1344,2009,Government and civil society,144.771775
1345,2009,"Government and civil society, general",133.079554
1346,2009,Health,324.584472
1347,2009,Health education,0.766668
1348,2009,Health personnel development,1.095499
1349,2009,Health policy and administrative management,19.839216
1350,2009,"Health, general",38.841082
1351,2009,Higher education,27.273447
1352,2009,Housing policy and administrative management,1.016926
1353,2009,Human rights,14.498659
1354,2009,Humanitarian aid,826.504418
1355,2009,Hydro-electric power plants,20.60709
1356,2009,Immediate post-emergency reconstruction and rehabilitation,0.791237
1357,2009,Import support (commodities),11.96793
1358,2009,Industrial crops/export crops,1.013746
1359,2009,Industrial development,5.561
1360,2009,Industrial policy and administrative management,14.351342
1361,2009,Industry,22.100089
1362,2009,"Industry, mining, construction",22.100089
1363,2009,Infectious disease control,5.627903
1364,2009,Informal/semi-formal financial intermediaries,2.399481
1365,2009,Information and communication technology (ICT),1.19674
1366,2009,Legal and judicial development,7.50102
1367,2009,Legislatures and political parties,0.591581
1368,2009,Livestock,0.400884
1369,2009,Livestock/veterinary services,0.262161
1370,2009,Low-cost housing,0.001203
1371,2009,Malaria control,155.639457
1372,2009,Material relief assistance and services,144.270145
1373,2009,Media and free flow of information,3.543793
1374,2009,Medical education/training,0.307175
1375,2009,Medical research,0.944193
1376,2009,Medical services,17.750498
1377,2009,Multi-hazard response preparedness,9.053545
1378,2009,Multi-sector / Cross-cutting,125.12246
1379,2009,Multilateral trade negotiations,0.088047
1380,2009,Multisector aid,24.341875
1381,2009,Multisector aid for basic social services,67.12926
1382,2009,Multisector education/training,0.856279
1383,2009,Nuclear energy electric power plants and nuclear safety,0.097674
1384,2009,Nuclear energy plants,0.097674
1385,2009,Other commodity assistance,11.96793
1386,2009,Other multisector,110.309899
1387,2009,Other social infrastructure and services,128.600625
1388,2009,Participation in international peacekeeping operations,0.194293
1389,2009,Personnel development for population and reproductive health,0.003664
1390,2009,Population policies/Programmes & reproductive health,332.745645
1391,2009,Population policy and administrative management,2.541805
1392,2009,Post-secondary education,28.487445
1393,2009,Primary education,48.743428
1394,2009,Privatisation,1.700677
1395,2009,Production sectors,459.608113
1396,2009,Promotion of development awareness (non-sector allocable),0.561886
1397,2009,Public finance management (PFM),6.758791
1398,2009,Public sector policy and administrative management,51.384625
1399,2009,Radio/television/print media,0.072419
1400,2009,Rail transport,3.355329
1401,2009,Reconstruction relief and rehabilitation,0.791237
1402,2009,Relief co-ordination and support services,11.792124
1403,2009,Relief of multilateral debt,0.795435
1404,2009,Removal of land mines and explosive remnants of war,3.59742
1405,2009,Reproductive health care,34.048114
1406,2009,Research/scientific institutions,2.14774
1407,2009,River basins development,6.164299
1408,2009,Road transport,233.270631
1409,2009,Rural development,55.912978
1410,2009,STD control including HIV/AIDS,280.238905
1411,2009,Secondary education,11.097027
1412,2009,Sector allocable,3025.969998
1413,2009,Sectors not specified,3.269156
1414,2009,Security system management and reform,0.261591
1415,2009,Site preservation,0.071748
1416,2009,Small and medium-sized enterprises (SME) development,0.240546
1417,2009,Social infrastructure and services,1803.743878
1418,2009,Social mitigation of HIV/AIDS,3.91484
1419,2009,Social protection,47.222535
1420,2009,Statistical capacity building,4.90213
1421,2009,Teacher training,5.2456
1422,2009,Technological research and development,0.088472
1423,2009,Telecommunications,0.161066
1424,2009,"Textiles, leather and substitutes",1.537835
1425,2009,Tourism,0.094177
1426,2009,Tourism policy and administrative management,0.094177
1427,2009,Trade education/training,0.394782
1428,2009,Trade facilitation,0.029618
1429,2009,Trade policies and regulations,4.726017
1430,2009,Trade policy and administrative management,3.644149
1431,2009,Trade-related adjustment,0.569421
1432,2009,Transport and storage,241.524089
1433,2009,Transport policy and administrative management,4.026319
1434,2009,Tuberculosis control,6.093876
1435,2009,Unallocated / unspecified,3.831042
1436,2009,Upper secondary education,2.562854
1437,2009,Urban development and management,26.68377
1438,2009,Vocational training,8.534173
1439,2009,Waste management/disposal,0.018101
1440,2009,Water resources conservation (including data collection),0.498406
1441,2009,Water sector policy and administrative management,9.795826
1442,2009,Water supply & sanitation,123.667469
1443,2009,Water supply and sanitation - large systems,37.12087
1444,2009,Wind energy,22.196756
1445,2009,"Women's rights organisations and movements, and government institutions",3.973028
1446,2010,Action relating to debt,7.168798
1447,2010,Administrative costs (non-sector allocable),7.923582
1448,2010,Administrative costs of donors,7.923582
1449,2010,Advanced technical and managerial training,1.11517
1450,2010,Agrarian reform,0.127101
1451,2010,Agricultural co-operatives,1.404459
1452,2010,Agricultural development,51.550406
1453,2010,Agricultural education/training,2.789232
1454,2010,Agricultural extension,14.988535
1455,2010,Agricultural financial services,3.85147
1456,2010,Agricultural inputs,-12.740337
1457,2010,Agricultural land resources,28.180107
1458,2010,Agricultural policy and administrative management,16.280802
1459,2010,Agricultural research,18.284521
1460,2010,Agricultural services,7.893213
1461,2010,Agricultural water resources,10.604835
1462,2010,Agriculture,151.591394
1463,2010,"Agriculture, forestry, fishing",171.141465
1464,2010,Agro-industries,0.580238
1465,2010,Air transport,0.024909
1466,2010,All sectors,3891.189613
1467,2010,Anti-corruption organisations and institutions,0.121201
1468,2010,Banking and financial services,3.025514
1469,2010,Basic drinking water supply,2.832282
1470,2010,Basic drinking water supply and basic sanitation,44.321501
1471,2010,Basic education,43.217267
1472,2010,Basic health,222.779973
1473,2010,Basic health care,96.135971
1474,2010,Basic health infrastructure,3.113541
1475,2010,Basic life skills for adults,2.926479
1476,2010,Basic nutrition,27.252947
1477,2010,Basic sanitation,0.947051
1478,2010,Biodiversity,6.887224
1479,2010,Biosphere protection,0.0876
1480,2010,Business and other services,14.598487
1481,2010,Business policy and administration,14.598487
1482,2010,Cement/lime/plaster,0.006294
1483,2010,"Civilian peace-building, conflict prevention and resolution",8.526483
1484,2010,Commodity aid / General programme assistance,548.307158
1485,2010,Communications,7.312214
1486,2010,Communications policy and administrative management,5.22725
1487,2010,"Conflict, peace and security",13.72593
1488,2010,Construction,0.073848
1489,2010,Construction policy and administrative management,0.073848
1490,2010,Cottage industries and handicraft,0.132136
1491,2010,Culture and recreation,1.234899
1492,2010,Debt forgiveness,1.161939
1493,2010,Decentralisation and support to subnational government,15.861339
1494,2010,Democratic participation and civil society,23.304867
1495,2010,Development food assistance,360.299998
1496,2010,Disaster prevention and preparedness,10.558865
1497,2010,Disaster risk reduction,0.001031
1498,2010,Early childhood education,1.393939
1499,2010,Economic infrastructure and services,396.304857
1500,2010,Education,380.257207
1501,2010,Education and training in water supply and sanitation,0.227771
1502,2010,Education facilities and training,16.371226
1503,2010,Education policy and administrative management,271.450157
1504,2010,"Education, level unspecified",301.308863
1505,2010,Education/training in banking and financial services,0.032345
1506,2010,Educational research,4.219437
1507,2010,Elections,13.731567
1508,2010,Electric power transmission and distribution (centralised grids),91.22313
1509,2010,Emergency food assistance,586.874335
1510,2010,Emergency response,711.965992
1511,2010,Employment creation,0.074563
1512,2010,Energy,127.678356
1513,2010,Energy distribution,91.22313
1514,2010,Energy education/training,0.064484
1515,2010,"Energy generation, non-renewable sources",15.11519
1516,2010,"Energy generation, non-renewable sources, unspecified",15.11519
1517,2010,"Energy generation, renewable sources",20.345783
1518,2010,"Energy generation, renewable sources - multiple technologies",13.040237
1519,2010,Energy policy,0.566489
1520,2010,Energy policy and administrative management,0.502005
1521,2010,Engineering,0.227646
1522,2010,Environmental education/training,0.760249
1523,2010,Environmental policy and administrative management,8.582468
1524,2010,Environmental research,1.074038
1525,2010,Family planning,9.636944
1526,2010,Financial policy and administrative management,0.537848
1527,2010,Fishing,0.032546
1528,2010,Fishing policy and administrative management,0.032546
1529,2010,Food assistance,360.299998
1530,2010,Food crop production,6.095007
1531,2010,Forestry,19.517525
1532,2010,Forestry development,4.768912
1533,2010,Forestry education/training,0.28687
1534,2010,Forestry policy and administrative management,14.158215
1535,2010,Forestry services,0.303528
1536,2010,Formal sector financial intermediaries,1.592077
1537,2010,General budget support,183.509396
1538,2010,General budget support-related aid,183.509396
1539,2010,General environment protection,17.419933
1540,2010,Geothermal energy,0.586596
1541,2010,Government and civil society,134.349419
1542,2010,"Government and civil society, general",120.623489
1543,2010,Health,243.318732
1544,2010,Health education,0.961828
1545,2010,Health personnel development,2.803208
1546,2010,Health policy and administrative management,16.193472
1547,2010,"Health, general",20.538759
1548,2010,Higher education,16.127889
1549,2010,Housing policy and administrative management,0.26115
1550,2010,Human rights,5.473773
1551,2010,Humanitarian aid,723.25139
1552,2010,Hydro-electric power plants,3.642901
1553,2010,Immediate post-emergency reconstruction and rehabilitation,0.726533
1554,2010,Import support (commodities),4.497764
1555,2010,Industrial crops/export crops,1.108525
1556,2010,Industrial development,2.668358
1557,2010,Industrial policy and administrative management,12.954921
1558,2010,Industry,17.510377
1559,2010,"Industry, mining, construction",17.795289
1560,2010,Infectious disease control,3.809651
1561,2010,Informal/semi-formal financial intermediaries,0.863244
1562,2010,Information and communication technology (ICT),2.063287
1563,2010,Legal and judicial development,8.388727
1564,2010,Legislatures and political parties,2.464742
1565,2010,Livestock,0.521631
1566,2010,Livestock/veterinary services,0.651887
1567,2010,Malaria control,68.005308
1568,2010,Material relief assistance and services,116.263797
1569,2010,Media and free flow of information,3.096121
1570,2010,Medical education/training,2.327803
1571,2010,Medical research,1.536014
1572,2010,Medical services,0.48147
1573,2010,Mineral prospection and exploration,0.211064
1574,2010,Mineral resources and mining,0.211064
1575,2010,Multi-hazard response preparedness,10.558865
1576,2010,Multi-sector / Cross-cutting,229.892206
1577,2010,Multilateral trade negotiations,0.02224
1578,2010,Multisector aid,58.791732
1579,2010,Multisector aid for basic social services,62.970228
1580,2010,Multisector education/training,0.577766
1581,2010,Nuclear energy electric power plants and nuclear safety,0.427764
1582,2010,Nuclear energy plants,0.427764
1583,2010,Other commodity assistance,4.497764
1584,2010,Other multisector,212.472273
1585,2010,Other social infrastructure and services,284.439856
1586,2010,Participation in international peacekeeping operations,0.144525
1587,2010,Personnel development for population and reproductive health,0.16061
1588,2010,Population policies/Programmes & reproductive health,610.865382
1589,2010,Population policy and administrative management,2.431324
1590,2010,Post-secondary education,17.243059
1591,2010,Primary education,38.896849
1592,2010,Production sectors,196.921882
1593,2010,Promotion of development awareness (non-sector allocable),0.04804
1594,2010,Public finance management (PFM),4.008188
1595,2010,Public sector policy and administrative management,38.536759
1596,2010,Radio/television/print media,0.021677
1597,2010,Rail transport,3.623032
1598,2010,Reconstruction relief and rehabilitation,0.726533
1599,2010,Relief co-ordination and support services,8.82786
1600,2010,Relief of multilateral debt,6.006859
1601,2010,Removal of land mines and explosive remnants of war,5.048587
1602,2010,Reproductive health care,32.720707
1603,2010,Research/scientific institutions,1.259471
1604,2010,River basins development,3.170627
1605,2010,Road transport,223.537819
1606,2010,Rural development,97.587198
1607,2010,STD control including HIV/AIDS,565.915797
1608,2010,Sanitation - large systems,0.279423
1609,2010,Secondary education,18.488018
1610,2010,Sector allocable,2598.656109
1611,2010,Sectors not specified,5.834536
1612,2010,Security system management and reform,0.006335
1613,2010,Site preservation,0.028354
1614,2010,Small and medium-sized enterprises (SME) development,0.726973
1615,2010,Social infrastructure and services,1775.537164
1616,2010,Social mitigation of HIV/AIDS,3.726243
1617,2010,Social protection,215.823081
1618,2010,Solar energy for centralised grids,3.076049
1619,2010,Statistical capacity building,0.349692
1620,2010,Teacher training,9.268043
1621,2010,Technological research and development,0.144648
1622,2010,"Textiles, leather and substitutes",0.069163
1623,2010,Tourism,4.603776
1624,2010,Tourism policy and administrative management,4.603776
1625,2010,Trade education/training,0.354306
1626,2010,Trade facilitation,0.024348
1627,2010,Trade policies and regulations,3.381352
1628,2010,Trade policy and administrative management,2.980458
1629,2010,Transport and storage,243.690286
1630,2010,Transport policy and administrative management,16.504526
1631,2010,Tuberculosis control,20.697519
1632,2010,Unallocated / unspecified,5.882576
1633,2010,Upper secondary education,13.078725
1634,2010,Urban development and management,54.255075
1635,2010,Vocational training,5.409293
1636,2010,Waste management/disposal,0.020553
1637,2010,Water resources conservation (including data collection),0.604536
1638,2010,Water sector policy and administrative management,12.275405
1639,2010,Water supply & sanitation,122.306568
1640,2010,Water supply - large systems,1.256242
1641,2010,Water supply and sanitation - large systems,56.371177
