year,d_lifeexp,d_ln_u5,d_ln_im,cc,ge,pv,rl,rq,va,dln_gdp_pc,d_lifeexp_lag1,d_ln_u5_lag1,d_ln_im_lag1,dln_oda_health_lag0,dln_oda_health_lag1,dln_oda_health_lag2,dln_oda_edu_lag0,dln_oda_edu_lag1,dln_oda_edu_lag2,dln_oda_infra_lag0,dln_oda_infra_lag1,dln_oda_infra_lag2,dln_oda_econ_lag0,dln_oda_econ_lag1,dln_oda_econ_lag2,dln_oda_gov_lag0,dln_oda_gov_lag1,dln_oda_gov_lag2,dln_oda_social_env_lag0,dln_oda_social_env_lag1,dln_oda_social_env_lag2
2005,0.6289999999999978,-0.05542079394091193,-0.018265347976876622,-0.7725083827972412,-0.9177183508872986,-1.6903833150863647,-0.9388967752456664,-1.1157070398330688,-1.2387572526931765,0.17250962121290314,0.857999999999997,-0.05415875026168937,-0.01793770068626488,0.1982527999600583,0.005599327537551879,0.6048618265330932,-0.3399824129422804,0.21130666920879548,0.5995453742403569,0.27062241307785495,-0.031778653932694745,-0.2624542258349445,-0.37073046123443465,0.3934199466214956,0.0,-0.8606099169398513,1.1735915087927369,-1.2654494529513034,0.2593543302808614,0.11318319807701194,-0.15820321729695586
2006,1.0380000000000038,-0.05575369158131149,-0.018605187830601277,-0.6501047015190125,-0.6905804872512817,-1.740132212638855,-0.667515754699707,-1.0283162593841553,-1.1937174797058103,0.17943992194543856,0.6289999999999978,-0.05542079394091193,-0.018265347976876622,0.4486457460307358,0.1982527999600583,0.005599327537551879,0.5978493778770648,-0.3399824129422804,0.21130666920879548,0.31501195776403623,0.27062241307785495,-0.031778653932694745,0.245927787685841,-0.37073046123443465,0.3934199466214956,0.16810386771039454,-0.8606099169398513,1.1735915087927369,0.5128031256642531,0.2593543302808614,0.11318319807701194
2007,1.1640000000000015,-0.05493143219096552,-0.021353124470062657,-0.6321858763694763,-0.4717485904693603,-1.8064093589782717,-0.659463107585907,-0.9826846718788148,-1.2037049531936646,0.22510242172116524,1.0380000000000038,-0.05575369158131149,-0.018605187830601277,0.2902360209885009,0.4486457460307358,0.1982527999600583,0.6817471327077707,0.5978493778770648,-0.3399824129422804,-0.02994999720798397,0.31501195776403623,0.27062241307785495,0.16370206311494417,0.245927787685841,-0.37073046123443465,0.42427715578753933,0.16810386771039454,-0.8606099169398513,0.43078072303045367,0.5128031256642531,0.2593543302808614
2008,1.1669999999999945,-0.05378206913911576,-0.02181904739411067,-0.6663997769355774,-0.4502095580101013,-1.7321206331253052,-0.7067006826400757,-0.8991320133209229,-1.3072127103805542,0.2883632778372318,1.1640000000000015,-0.05493143219096552,-0.021353124470062657,-0.029887433005309383,0.2902360209885009,0.4486457460307358,-0.28575887825371105,0.6817471327077707,0.5978493778770648,0.21576609098292288,-0.02994999720798397,0.31501195776403623,-0.19689540335523148,0.16370206311494417,0.245927787685841,-0.04565813713782507,0.42427715578753933,0.16810386771039454,0.08236389634643437,0.43078072303045367,0.5128031256642531
2009,0.9820000000000064,-0.05226314356587913,-0.02733089371629216,-0.7047223448753357,-0.5624285340309143,-1.6410722732543943,-0.8322818875312805,-0.931926727294922,-1.2982454299926758,0.15260309552752105,1.1669999999999945,-0.05378206913911576,-0.02181904739411067,0.10192292602050301,-0.029887433005309383,0.2902360209885009,1.0602092556945726,-0.28575887825371105,0.6817471327077707,0.12076046477994495,0.21576609098292288,-0.02994999720798397,1.2686711163207987,-0.19689540335523148,0.16370206311494417,0.259120225257651,-0.04565813713782507,0.42427715578753933,-0.5502669367856203,0.08236389634643437,0.43078072303045367
2010,0.9939999999999998,-0.05153365011457911,-0.02551158765675776,-0.6941087245941162,-0.4889946281909942,-1.6351011991500854,-0.8075191378593445,-0.8481064438819885,-1.3448561429977417,-0.1086755345110264,0.9820000000000064,-0.05226314356587913,-0.02733089371629216,0.2616102806809959,0.10192292602050301,-0.029887433005309383,-0.6770973736263732,1.0602092556945726,-0.28575887825371105,-0.16336738852779664,0.12076046477994495,0.21576609098292288,-0.830431636495093,1.2686711163207987,-0.19689540335523148,-0.7395029454584696,0.259120225257651,-0.04565813713782507,0.7046344595439553,-0.5502669367856203,0.08236389634643437
2011,0.8859999999999957,-0.050534473052931794,-0.028835549639131486,-0.6678766012191772,-0.5210419297218323,-1.5069637298583984,-0.7418043613433838,-0.9949231147766112,-1.362643837928772,0.03683525918698116,0.9939999999999998,-0.05153365011457911,-0.02551158765675776,0.07934058071272254,0.2616102806809959,0.10192292602050301,0.10882671985334191,-0.6770973736263732,1.0602092556945726,0.15843556796153813,-0.16336738852779664,0.12076046477994495,-0.07253340005245512,-0.830431636495093,1.2686711163207987,0.0009458727626814323,-0.7395029454584696,0.259120225257651,-0.19492976271357243,0.7046344595439553,-0.5502669367856203
2012,0.847999999999999,-0.049232739967122185,-0.029691789806601143,-0.608586847782135,-0.454180359840393,-1.564271330833435,-0.6773178577423096,-1.05003821849823,-1.3089078664779663,0.2761025139762001,0.8859999999999957,-0.050534473052931794,-0.028835549639131486,-0.05608019424804489,0.07934058071272254,0.2616102806809959,0.025799084132431815,0.10882671985334191,-0.6770973736263732,-0.020768765107276543,0.15843556796153813,-0.16336738852779664,0.1269449156643061,-0.07253340005245512,-0.830431636495093,-0.08590621797915166,0.0009458727626814323,-0.7395029454584696,0.1530252232831053,-0.19492976271357243,0.7046344595439553
2013,0.7180000000000035,-0.05038506083856209,-0.024966622729768684,-0.5017104148864746,-0.6209843158721924,-1.4073073863983154,-0.6496586799621582,-1.1356687545776367,-1.3131312131881714,0.06826152640574712,0.847999999999999,-0.049232739967122185,-0.029691789806601143,0.3274578983549308,-0.05608019424804489,0.07934058071272254,-0.29069043854752596,0.025799084132431815,0.10882671985334191,0.17768577036041933,-0.020768765107276543,0.15843556796153813,0.4953820599259533,0.1269449156643061,-0.07253340005245512,-0.020614206898912357,-0.08590621797915166,0.0009458727626814323,-0.03611130458109635,0.1530252232831053,-0.19492976271357243
2014,0.7659999999999982,-0.04865050911648705,-0.0256059509044424,-0.4481658935546875,-0.4432452321052551,-1.3393874168395996,-0.468583732843399,-1.0784140825271606,-1.2845574617385864,0.1277266694921,0.7180000000000035,-0.05038506083856209,-0.024966622729768684,-0.2454799746421754,0.3274578983549308,-0.05608019424804489,0.26799500178554325,-0.29069043854752596,0.025799084132431815,-0.08250969455461998,0.17768577036041933,-0.020768765107276543,0.07675954286996145,0.4953820599259533,0.1269449156643061,0.3444241656255702,-0.020614206898912357,-0.08590621797915166,0.033624276913757356,-0.03611130458109635,0.1530252232831053
