,Year,Country,교육_초등학교 순취학률_ODA,교육_초등학교 이수율_ODA,보건_영아 사망률_ODA,보건_신생아 사망률_ODA,보건_기대 수명_ODA,생산_서비스업 부가가치_ODA,생산_제조업 부가가치_ODA,생산_농작물 생산지수_ODA,생산_가축 생산지수_ODA,경제_1인당 GDP_ODA,빈곤 및 사회복지_빈곤율_ODA,빈곤 및 사회복지_1인당 GNI_ODA,빈곤 및 사회복지_의료 접근성_ODA,환경/기후_재생 에너지 사용률_ODA,환경/기후_대기오염 지수_ODA,환경/기후_CO2 배출량_ODA,new_cases_per_million,new_deaths_per_million,stringency_index,natural_disaster_count,log_battle_deaths,정부효율성,실업률,소득 불평등,정치 안정성,도시화율,환경적 지속가능성,인구밀도,산림면적 비율,농업 부가가치 비중,산업 부가가치 비중,작물 생산 지수,식량 생산 지수,"연간 물가상승률 (CPI 기준, %)",GDP 대비 공교육 지출 비율 (%),"인구 1,000명당 간호사 및 조산사 수",GDP 대비 보건 지출 비율 (%),정부예산 중 교육비 비중,중등학교 총등록률
10,2014,Belize,1.10305,1.10305,1.595109,1.163568,0.431541,0.066379,0.205558,13.500058,13.500058,9.432163,6.863711,4.554201,2.621598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.543895483016968,8.244,,0.0485830754041672,45.335,,15.2969311705392,58.9452871547567,10.1788846018941,15.8400561206594,104.03,102.29,1.20139964481058,5.16743993759155,2.03,4.89683533,21.5630798339844,79.9702529907227
11,2014,Benin,16.326447,16.326447,84.183701,66.704032,17.479669,1.258161,4.583518,46.479042,46.479042,126.132357,134.067114,68.857517,93.03223,37.502746,37.502746,37.502746,0.0,0.0,0.0,0.0,0.0,-0.485428422689438,1.872,,0.027139762416482,45.166,0.0,97.8184107839659,30.4642603760199,25.6184529738008,16.4115774866134,103.67,103.07,-0.548757550948181,3.161789894104,,2.69111967,22.227710723877,54.7326316833496
12,2014,Bhutan,0.817751,0.817751,4.3471,3.392881,0.954219,0.017604,5.734432,7.483162999999999,7.483162999999999,71.159323,27.168053,22.005106,6.524092,1.069681,1.069681,1.069681,0.0,0.0,0.0,0.0,0.0,0.293826997280121,2.63,,1.06803858280182,37.918,,19.2339113781252,71.1808904163497,12.0637822394106,37.6449550742574,94.86,93.35,8.27106093949328,5.54899978637695,1.3,3.28293824,17.4541397094727,84.0441970825195
13,2014,Bolivia,27.70226,27.70226,33.671947,17.341598,16.330349000000002,11.032268,5.898753,84.531526,84.531526,247.392535,142.046982,86.545236,64.637146,1.508705,1.508705,1.508705,0.0,0.0,0.0,0.0,0.0,-0.581926763057709,2.021,47.8,-0.333112090826035,68.047,2.36,10.0146662974245,48.2220788331949,9.74021753770169,27.6254998805738,96.23,96.04,5.76660074579144,7.47812986373901,,5.89613628,17.2877807617188,90.5977325439453
14,2014,Bosnia and Herzegovina,6.600226,6.600226,31.835044,11.680921,20.154123,3.870604,8.405343,12.408047,12.408047,435.694105,192.155133,93.848081,56.497403,2.934266,2.934266,2.934266,0.0,0.0,0.0,4.0,0.0,-0.492096722126007,27.517,,-0.0191790424287319,46.84,8.51,69.62556640625,41.971328125,5.95105769918674,22.156369823245,83.5,88.85,-0.897194054194333,3.31473970413208,5.979,9.49011135,,84.6013412475586
15,2014,Botswana,37.042273,37.042273,6.703144,3.888882,2.8142620000000003,0.088013,0.169725,10.650551,10.650551,17.826369,4.875955,4.393451,66.329661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298254311084747,18.514,,1.01184713840485,66.368,0.01,3.83259047518219,28.1694987030861,1.81959835253259,41.7777034040156,93.14,99.91,4.40225309243427,7.88874197006226,,5.8804059,22.6601257324219,
16,2014,Brazil,159.80564,159.80564,67.39045,4.61809,62.77236,157.286892,113.979814,57.729967,57.729967,1714.888471,2015.380194,1444.306037,608.518188,175.056952,175.056952,175.056952,0.0,0.0,0.0,5.0,0.0,-0.175920635461807,6.755,52.0,-0.070290133357048,85.492,12.42,23.93895376244,60.4708679203746,4.32561053879483,20.4724627471447,98.65,98.98,6.32904015516139,5.94848012924194,8.758,8.39644146,13.4677696228027,102.635528564453
17,2014,Burkina Faso,44.453954,44.453954,113.757575,87.303639,26.453936,22.377827000000003,8.454643,141.854989,141.854989,242.22368,220.592919,112.189868,140.198694,156.026553,156.026553,156.026553,0.0,0.0,0.0,1.0,0.0,-0.592531859874725,4.251,35.3,-0.787128567695618,26.934,0.16,66.6281469298246,23.8173245614035,23.6937727725999,24.9295392471244,99.64,98.87,-0.258089517535384,4.05329990386963,0.446,5.00027227,19.3681106567383,29.732629776001
18,2014,Burundi,16.251622,16.251622,71.274438,45.70886,25.565578,2.70027,0.088354,49.250013,49.250013,105.923409,97.006867,60.334338,55.424097,45.0474,45.0474,45.0474,0.0,0.0,0.0,1.0,4.04305126783455,-1.1517721414566,1.572,,-0.784407138824463,11.776,,420.552375389408,10.2219626168224,34.9581923436541,15.498211588581,101.22,100.47,4.40535234185293,7.51637983322144,0.652,7.21081543,22.286958694458,41.4826889038086
19,2014,Cabo Verde,2.446085,2.446085,13.7666,1.942412,11.824188,0.0,0.780388,0.629625,0.629625,110.22721,18.708937,7.414759,14.071271,49.845876,49.845876,49.845876,0.0,0.0,0.0,1.0,0.0,0.0374637916684151,11.674,,0.350779145956039,63.81,,127.128039702233,10.8982630272953,5.73506923863287,15.4556956659682,100.53,99.26,-0.238778144990624,4.52134990692139,0.872,4.85231543,16.282190322876,87.442626953125
20,2014,Cambodia,49.852386,49.852386,108.200103,68.104336,40.095767,1.039525,27.473542,111.938119,111.938119,212.082926,148.785397,88.485818,108.444597,1.897815,1.897815,1.897815,0.0,0.0,0.0,1.0,0.0,-0.698889017105103,0.692,,0.0231748018413782,21.799,2.96,87.2239519601178,52.0921255381826,22.1938152404445,29.9169916479613,94.78,96.88,3.85568861424207,1.56673634052277,0.966,5.07833052,13.6572694778442,
21,2014,Cameroon,7.159012,7.159012,82.508528,73.773996,8.734532,22.558919000000003,4.98163,45.658486,45.658486,260.02872,115.61709,29.6729,127.121629,7.818603,7.818603,7.818603,0.0,0.0,0.0,3.0,0.0,-0.81291788816452,3.534,46.6,-1.05925238132477,53.976,4.32,46.6668634046244,43.7403058957923,16.8258381780095,25.7078027839026,96.08,95.62,1.85489850366777,2.58396005630493,,4.34148788,12.8797597885132,58.1796493530273
22,2014,Central African Republic,0.793795,0.793795,48.241426,40.217844,8.023582000000001,2.212707,0.005971,8.850076,8.850076,14.287226,74.607147,49.847587,13.900901,97.50472,97.50472,97.50472,0.0,0.0,0.0,0.0,4.919980925828125,-1.88091146945953,5.326,,-2.69919323921204,39.959,,7.42107611801342,36.0894410735497,33.9856217226143,19.4826086120024,93.04,95.43,14.898684179755,2.22015333175659,,4.56557369,9.38718795776367,
23,2014,Chad,7.704366,7.704366,57.670487,48.568211,9.102276,1.894413,0.167554,20.420256,20.420256,24.188196,60.732024,25.860004,40.922583,31.094268000000003,31.094268000000003,31.094268000000003,0.0,0.0,0.0,0.0,0.0,-1.51098120212555,0.933,,-1.56888270378113,22.372,0.0,11.2680098475222,3.98506988564168,31.1688076695246,37.1094347348857,100.74,97.54,1.68197313925661,2.32031226158142,0.263,3.28550839,,23.6399192810059
24,2014,Chile,9.87494,9.87494,1.214688,0.564237,0.650451,30.976126,0.261286,0.869548,0.869548,263.336204,15.400633,14.544696,0.917093,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.03507494926453,6.483,,0.447516918182373,87.303,6.27,24.0261279944912,23.4312928024618,3.94662062999462,28.9028670653185,96.62,97.59,4.71867527854672,4.75167989730835,9.403,7.84150171,19.9210090637207,99.8654403686523
25,2014,Colombia,39.262938,39.262938,733.0122749999999,10.351701,722.660574,2.232145,12.174551,100.871867,100.871867,800.0852620000001,779.852882,487.574549,109.487069,1.81281,1.81281,1.81281,0.0,0.0,0.0,5.0,4.787491742782046,-0.135854035615921,8.799,52.5,-1.11459410190582,79.415,10.0,41.969742226228,54.3211230283912,5.44695721474421,30.9858527230854,95.23,96.69,2.89883787761738,,1.136,7.18553209,,97.3632888793945
